,0,1,size
0,!,.,16
1,#,#,36
2,$,$,1725
3,%,NN,1205
4,%,VB,1
5,&,CC,212
6,','',27
7,',POS,131
8,'','',1466
9,'40s,NNS,1
10,'60s,NNS,1
11,'70s,NNS,1
12,'71,CD,1
13,'80s,NNS,4
14,'86,CD,2
15,'90s,NNS,1
16,'S,VBZ,4
17,'T-,PRP,1
18,'d,MD,26
19,'ll,MD,29
20,'m,VBP,30
21,'n',NN,1
22,'re,VBP,105
23,'s,NNS,1
24,'s,POS,1638
25,'s,VBZ,275
26,'til,NN,1
27,'ve,VBP,38
28,",",",",10770
29,-,:,16
30,--,:,438
31,-LCB-,(,38
32,-LRB-,(,236
33,-RCB-,),39
34,-RRB-,),242
35,.,.,8725
36,...,:,36
37,.50,CD,1
38,0.0015,CD,1
39,0.01,CD,2
40,0.0108,CD,1
41,0.03,CD,3
42,0.05,CD,4
43,0.06,CD,1
44,0.1,CD,3
45,0.10,CD,1
46,0.2,CD,14
47,0.23,CD,1
48,0.24,CD,2
49,0.25,CD,3
50,0.272,CD,1
51,0.3,CD,5
52,0.32,CD,2
53,0.36,CD,1
54,0.375,CD,1
55,0.4,CD,5
56,0.43,CD,1
57,0.5,CD,6
58,0.51,CD,1
59,0.53,CD,1
60,0.60,CD,1
61,0.7,CD,2
62,0.71,CD,1
63,0.73,CD,1
64,0.75,CD,2
65,0.76,CD,1
66,0.8,CD,2
67,0.86,CD,1
68,0.88,CD,1
69,0.89,CD,1
70,0.9,CD,6
71,0.92,CD,1
72,0.95,CD,1
73,1,CD,142
74,"1,000",CD,22
75,"1,022,000",CD,1
76,"1,103.11",CD,1
77,"1,150,000",CD,1
78,"1,155",CD,1
79,"1,200",CD,2
80,"1,235",CD,1
81,"1,250",CD,1
82,"1,263,000",CD,1
83,"1,275,000",CD,1
84,"1,296,000",CD,1
85,"1,300",CD,2
86,"1,400",CD,1
87,"1,425,035",CD,1
88,"1,435",CD,1
89,"1,490",CD,1
90,"1,500",CD,8
91,"1,640,000",CD,1
92,"1,647",CD,1
93,"1,680",CD,1
94,"1,695,000",CD,1
95,"1,700",CD,1
96,"1,730",CD,1
97,"1,800",CD,2
98,"1,800-a-year",RB,1
99,"1,809,300",CD,1
100,"1,838,200",CD,1
101,"1,920",CD,1
102,"1,930",CD,1
103,"1,980",CD,1
104,1-2-3,JJ,2
105,1-2-3,NN,1
106,1-2-3,NNP,1
107,1-800-453-9000,CD,1
108,1.0,CD,3
109,1.02,CD,3
110,1.03,CD,4
111,1.04,CD,2
112,1.05,CD,3
113,1.06,CD,2
114,1.07,CD,5
115,1.08,CD,1
116,1.09,CD,1
117,1.1,CD,6
118,1.10,CD,1
119,1.11,CD,3
120,1.12,CD,1
121,1.125,CD,3
122,1.13,CD,2
123,1.15,CD,3
124,1.16,CD,3
125,1.17,CD,1
126,1.18,CD,2
127,1.19,CD,5
128,1.2,CD,6
129,1.20,CD,1
130,1.21,CD,3
131,1.22,CD,4
132,1.23,CD,4
133,1.2345,CD,1
134,1.24,CD,3
135,1.25,CD,14
136,1.27,CD,1
137,1.2795,CD,1
138,1.28,CD,1
139,1.29,CD,4
140,1.3,CD,10
141,1.31,CD,1
142,1.32,CD,4
143,1.35,CD,1
144,1.36,CD,3
145,1.37,CD,1
146,1.375,CD,2
147,1.38,CD,3
148,1.39,CD,1
149,1.4,CD,6
150,1.40,CD,1
151,1.42,CD,1
152,1.43,CD,1
153,1.44,CD,4
154,1.45,CD,1
155,1.47,CD,1
156,1.48,CD,2
157,1.49,CD,1
158,1.5,CD,17
159,1.5-mile,CD,1
160,1.50,CD,5
161,1.51,CD,1
162,1.52,CD,1
163,1.53,CD,2
164,1.54,CD,2
165,1.56,CD,2
166,1.58,CD,2
167,1.5890,CD,1
168,1.59,CD,1
169,1.5920,CD,1
170,1.5940,CD,1
171,1.5990,CD,1
172,1.6,CD,14
173,1.60,CD,1
174,1.625,CD,2
175,1.64,CD,1
176,1.67,CD,1
177,1.69,CD,1
178,1.7,CD,8
179,1.70,CD,2
180,1.71,CD,4
181,1.72,CD,1
182,1.73,CD,1
183,1.75,CD,4
184,1.76,CD,1
185,1.8,CD,13
186,1.80,CD,1
187,1.81,CD,2
188,1.82,CD,2
189,1.83,CD,1
190,1.8470,CD,4
191,1.8485,CD,3
192,1.85,CD,2
193,1.8578,CD,2
194,1.8667,CD,1
195,1.87,CD,1
196,1.875,CD,2
197,1.89,CD,1
198,1.9,CD,3
199,1.90,CD,2
200,1.93,CD,1
201,1.95,CD,1
202,1.97,CD,1
203,1.99,CD,1
204,10,CD,119
205,"10,000",CD,9
206,"10,300",CD,1
207,10-fold,JJ,1
208,10-to-1,JJ,1
209,10-week,JJ,1
210,10-year,JJ,8
211,10.01,CD,1
212,10.03,CD,1
213,10.08,CD,1
214,10.09,CD,1
215,10.1,CD,2
216,10.13,CD,1
217,10.2,CD,3
218,10.3,CD,2
219,10.37,CD,1
220,10.4,CD,3
221,10.44,CD,1
222,10.5,CD,2
223,10.5625,CD,1
224,10.59,CD,1
225,10.6,CD,1
226,10.7,CD,2
227,10.75,CD,1
228,10.958,CD,1
229,10.98,CD,1
230,100,CD,73
231,"100,000",CD,11
232,100-Share,NNP,1
233,100-foot-long,JJ,1
234,100-share,JJ,3
235,100.2,CD,1
236,100.625,CD,1
237,101,CD,9
238,101.4,CD,1
239,101.60,CD,1
240,101.75,CD,1
241,101.90,CD,1
242,101.98,CD,1
243,1017.69,CD,1
244,102,CD,6
245,102.1,CD,2
246,102.25,CD,1
247,102.5,CD,1
248,102.625,CD,2
249,103,CD,2
250,104,CD,2
251,105,CD,3
252,105.2,CD,1
253,106,CD,5
254,106.6,CD,1
255,106.7,CD,1
256,107,CD,3
257,107.9,CD,1
258,108,CD,2
259,108-year-old,NNP,1
260,108.4,CD,1
261,109,CD,4
262,10:10,CD,1
263,10:45,CD,1
264,10\/32,CD,1
265,10th,JJ,2
266,11,CD,42
267,"11,000",CD,2
268,"11,429,243",CD,1
269,"11,775,000",CD,1
270,11-point,JJ,1
271,11.0,CD,1
272,11.04,CD,1
273,11.07,CD,1
274,11.1,CD,1
275,11.2,CD,1
276,11.25,CD,1
277,11.3,CD,1
278,11.4,CD,2
279,11.5,CD,2
280,11.7,CD,1
281,11.8,CD,3
282,11.88,CD,1
283,11.9,CD,1
284,11.91,CD,1
285,110,CD,4
286,110-lawyer,JJ,1
287,110-story,JJ,1
288,111,CD,4
289,111.48,CD,2
290,112,CD,1
291,112.16,CD,1
292,112.2,CD,1
293,112.9,CD,1
294,113,CD,2
295,114,CD,4
296,114.2,CD,1
