,#,$,'',(,),",",.,:,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,``
#,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
$,0,0,0,0,0,0,0,0,0,1724,0,0,0,0,7,0,0,0,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
'',0,1,11,15,1,2,1,13,86,7,150,4,0,198,27,0,2,12,65,207,0,44,0,0,143,6,57,0,0,0,0,23,0,6,124,19,9,5,209,13,4,0,7,22
(,0,41,0,0,0,0,0,0,7,16,27,1,0,29,14,0,0,0,10,82,1,6,0,0,10,0,10,0,0,0,0,0,0,4,0,1,6,0,1,2,2,0,1,3
),0,0,0,0,0,42,35,23,13,2,17,0,0,36,6,0,0,7,14,18,1,7,0,0,4,0,5,0,0,0,0,8,0,3,8,0,3,6,19,0,1,0,1,2
",",0,15,618,1,0,0,0,1,1079,207,1442,30,1,1042,420,25,0,94,556,1320,9,310,0,2,474,36,493,6,15,1,0,102,1,49,562,477,247,83,351,361,113,19,66,142
.,0,0,478,35,47,3,1,16,469,131,1775,25,0,1083,369,9,42,5,374,1562,1,366,0,0,469,72,492,19,0,0,1,30,5,41,8,115,42,2,16,5,28,1,54,635
:,1,18,3,0,0,0,17,3,70,115,145,3,0,68,46,5,0,8,40,128,0,49,1,0,44,11,62,0,2,0,0,8,1,17,22,20,15,10,22,20,5,0,9,59
CC,0,137,0,1,1,33,2,0,0,277,595,24,0,262,571,67,1,61,658,865,12,385,2,0,173,89,244,11,18,1,0,42,1,179,192,120,113,45,115,4,11,1,22,37
CD,0,1,3,14,64,863,619,51,143,1648,263,0,0,717,309,18,7,17,1695,111,9,1199,0,8,4,1,37,1,1,1,1,319,0,6,57,16,28,5,51,9,5,0,6,8
DT,6,155,0,8,2,43,32,9,19,472,24,0,3,151,3647,117,171,32,8884,2036,39,1343,0,0,14,8,200,25,56,0,0,5,4,14,59,185,286,17,163,4,12,0,0,90
EX,0,0,0,0,0,7,0,1,4,0,2,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,36,0,1,38,90,0,0,0,0,0
FW,0,0,2,0,0,1,8,1,1,0,0,0,3,3,0,0,0,0,2,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,16,634,12,10,1,102,18,10,42,1414,7425,33,5,677,1916,122,69,4,2539,3114,43,1401,28,0,701,835,341,11,41,0,0,78,0,10,4,631,133,8,30,74,55,0,39,138
JJ,1,29,59,8,7,369,345,36,213,202,77,0,1,703,959,2,4,8,5993,433,44,2945,1,0,31,4,69,1,2,3,0,389,0,5,20,28,36,4,9,7,7,1,9,21
JJR,0,0,0,0,1,31,42,3,19,3,11,0,0,307,22,0,0,2,235,15,1,122,0,0,1,2,1,0,0,0,0,14,0,8,0,6,2,0,1,0,0,0,2,2
JJS,0,2,1,0,0,8,3,2,2,27,15,0,0,40,33,0,0,1,150,3,1,54,0,0,5,0,8,0,0,0,0,0,0,3,1,5,0,4,4,0,0,0,1,1
MD,0,0,0,0,1,8,4,0,1,0,12,0,0,9,0,2,0,0,0,0,0,2,0,0,15,1,378,2,0,0,0,9,0,1706,5,0,1,0,0,0,0,0,0,11
NN,1,15,157,54,61,3391,3186,346,1197,163,234,10,5,7469,302,41,0,548,3549,294,9,2561,1,664,159,5,514,116,6,2,3,1250,0,43,1466,238,365,110,1169,237,74,6,60,66
NNP,0,2,43,62,61,2771,1102,133,838,342,52,0,13,779,222,4,0,206,1289,7757,220,534,0,940,16,3,157,7,0,0,0,142,0,35,1252,47,8,67,704,25,11,0,19,21
NNPS,0,0,1,0,0,72,45,7,33,0,2,0,0,44,6,1,0,15,32,18,2,6,0,14,0,0,2,0,0,0,0,13,0,1,51,5,3,30,11,0,6,0,0,0
NNS,0,2,52,53,19,1610,1802,268,812,27,240,6,0,3153,257,15,2,391,252,42,1,153,0,134,61,10,435,23,4,0,0,549,0,17,1074,201,313,1205,96,158,109,7,32,34
PDT,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS,3,17,0,0,1,7,4,0,8,52,1,0,1,5,338,2,40,1,742,220,4,222,0,0,0,0,14,1,8,0,0,1,0,0,9,22,21,0,7,0,0,0,1,17
PRP,0,3,0,2,4,71,129,8,24,3,56,1,0,162,35,6,0,435,9,4,0,6,0,0,10,0,208,4,1,0,0,47,0,32,977,4,5,726,826,0,4,0,5,13
PRP$,0,8,0,0,0,3,2,0,1,33,1,0,1,0,407,8,23,0,842,108,1,379,0,0,1,0,14,0,9,0,0,0,0,1,2,7,23,1,0,0,0,0,0,6
RB,2,101,7,1,1,616,413,25,47,151,335,4,1,854,679,115,4,76,53,45,2,33,3,3,74,18,389,31,2,0,1,168,0,725,334,203,570,206,271,3,11,0,23,7
RBR,0,0,0,0,0,21,67,3,5,0,32,0,0,24,118,0,0,0,0,1,0,0,0,1,0,0,35,0,0,0,0,1,0,1,3,0,7,2,0,0,0,0,0,0
RBS,0,0,0,0,0,1,2,0,0,0,0,0,0,37,80,0,0,0,6,3,0,26,0,0,0,0,20,0,0,0,0,0,0,1,0,1,11,2,0,0,0,0,0,1
RP,0,0,0,0,0,0,0,0,0,1,28,0,0,25,8,0,0,0,6,0,0,9,0,0,0,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
SYM,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,4,316,1,0,0,4,2,0,2,381,560,0,0,21,145,18,0,0,106,218,2,128,0,0,20,63,49,1,2,0,0,1,0,2966,1,37,5,0,2,3,6,0,3,14
UH,0,0,0,0,0,9,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VB,1,48,21,3,0,102,157,11,67,125,1269,5,0,841,496,81,1,5,394,169,5,351,5,1,203,292,274,14,5,27,0,283,0,41,8,98,512,1,15,6,19,0,31,30
VBD,0,119,2,2,1,176,320,19,22,489,1038,10,0,918,418,62,1,3,293,305,0,171,2,0,359,159,525,7,2,11,0,408,0,23,12,178,615,1,6,5,4,0,7,52
VBG,0,19,6,1,2,57,47,4,30,51,629,2,0,531,212,29,0,0,423,128,3,293,3,0,73,91,126,10,3,20,0,292,0,11,8,6,104,1,18,5,9,0,6,19
VBN,1,39,14,1,5,142,213,19,63,89,308,0,0,1730,217,27,0,7,433,147,1,211,2,0,39,49,202,8,1,4,0,500,0,5,5,76,149,5,8,2,4,0,14,23
VBP,0,6,2,2,0,69,70,11,11,26,321,6,0,272,236,28,0,4,93,45,1,96,5,0,91,45,469,12,4,6,0,157,0,15,26,259,431,3,9,5,7,0,9,16
VBZ,0,21,0,1,0,130,135,23,17,83,784,4,0,446,353,37,2,8,184,287,0,80,1,0,104,47,625,10,7,7,0,211,0,12,16,238,672,6,7,3,12,0,36,39
WDT,0,1,0,0,0,3,0,1,0,3,24,1,0,9,5,0,0,131,15,14,0,17,0,1,31,3,27,0,0,0,0,1,0,0,246,0,0,153,269,0,0,0,0,0
WP,0,0,0,0,1,1,0,0,0,1,26,0,0,5,2,1,0,37,12,4,0,8,0,0,45,2,25,0,0,0,0,7,0,1,140,0,0,95,114,0,0,0,0,2
WP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,13,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
WRB,0,0,0,0,0,2,2,0,0,4,126,4,0,5,39,1,0,5,35,43,4,36,0,0,119,12,17,0,0,0,0,13,0,1,0,2,2,3,2,1,0,0,0,0
``,0,0,0,0,0,0,0,0,27,10,233,33,2,106,159,9,5,21,134,116,4,54,1,0,326,14,79,1,2,0,0,8,3,35,17,24,23,24,33,3,10,0,15,0
